2024      1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18
ATL   1   0,  0,  0,  0, 27,-29, 26,-27,  7,-17, -8,  0, 24,-15,-20, 18,-28, 29
IND   2   0,  0,  0,  0,-30,-11, 14,-32,-15,  3,-19,  9,-16,  0, -8, 11,-18, 30
BUF   3   0,  0,  0,  0,-32,-19, 11,-26, 14, -2, 12,  0, 25,-13, -9, 16, 19,-16
CHI   4   0,  0,  0,  0, 29, 30,  0,-28,-23, 16, 10, 15, -9,-25,-15,  9, 26,-10
CIN   5   0,  0,  0,  0,  6,-18,-31, 21, 20, -6,-24,  0, 22, -7,-11, 31,  8,-22
BAL   6   0,  0,  0,  0, -5, 28,-27,-31,  8,  5,-22,-24, 21,  0,-18, 22,-32, 31
DAL   7   0,  0,  0,  0,-22,  9,  0,-25, -1, 21, 32,-28, 18,  5,-29, 27,-21, 28
DEN   8   0,  0,  0,  0, 20, 24,-17, 29, -6,-12,  1,-20, 31,  0,  2,-24, -5, 12
DET   9   0,  0,  0,  0,  0, -7,-15, 11,-10,-32, 30, -2,  4, 10,  3, -4,-25, 15
GB   10   0,  0,  0,  0,-13, 23, 32,-30,  9,  0, -4, 25, 14, -9,-26, 17,-15,  4
TEN  11   0,  0,  0,  0,  0,  2, -3, -9, 16,-24, 15,-32,-28, 30,  5, -2,-30, 32
KC   12   0,  0,  0,  0, 17,  0,-25,-20, 27,  8, -3,-29, 20, 24,-31, 32,-22, -8
LAR  13   0,  0,  0,  0, 10,  0, 20, 15,-26, 14,-16, 21,-17,  3,-25,-19, 23, 26
MIA  14   0,  0,  0,  0,-16,  0, -2, 23, -3,-13, 20, 16,-10, 19,-32, 25,-31,-19
MIN  15   0,  0,  0,  0, 19,  0,  9,-13,  2,-30,-11, -4, 23,  1,  4,-26, 10, -9
NE   16   0,  0,  0,  0, 14, 32,-30, 19,-11, -4, 13,-14,  2,  0,-23, -3, 24,  3
NO   17   0,  0,  0,  0,-12, 27,  8,-24,-29,  1, 31,  0, 13,-18, 28,-10, 20,-27
NYG  18   0,  0,  0,  0,-26,  5, 21,-22, 28,-29,  0, 27, -7, 17,  6, -1,  2,-21
NYJ  19   0,  0,  0,  0,-15,  3,-22,-16, 32,-23,  2,  0, 26,-14,-30, 13, -3, 14
LVR  20   0,  0,  0,  0, -8, 22,-13, 12, -5,  0,-14,  8,-12,-27,  1, 30,-17, 24
PHI  21   0,  0,  0,  0,  0, 31,-18, -5, 30, -7, 28,-13, -6, 29, 22,-28,  7, 18
PIT  22   0,  0,  0,  0,  7,-20, 19, 18,  0,-28,  6,-31, -5, 31,-21, -6, 12,  5
ARI  23   0,  0,  0,  0,-25,-10, 24,-14,  4, 19,  0,-26,-15, 26, 16,-29,-13, 25
LAC  24   0,  0,  0,  0,  0, -8,-23, 17,-31, 11,  5,  6, -1,-12, 27,  8,-16,-20
SF   25   0,  0,  0,  0, 23,-26, 12,  7,  0,-27, 26,-10, -3,  4, 13,-14,  9,-23
SEA  26   0,  0,  0,  0, 18, 25, -1,  3, 13,  0,-25, 23,-19,-23, 10, 15, -4,-13
TB   27   0,  0,  0,  0, -1,-17,  6,  1,-12, 25,  0,-18,-29, 20,-24, -7, 29, 17
WAS  28   0,  0,  0,  0, 31, -6, 29,  4,-18, 22,-21,  7, 11,  0,-17, 21,  1, -7
CAR  29   0,  0,  0,  0, -4,  1,-28, -8, 17, 18,  0, 12, 27,-21,  7, 23,-27, -1
JAC  30   0,  0,  0,  0,  2, -4, 16, 10,-21, 15, -9,  0, 32,-11, 19,-20, 11, -2
CLE  31   0,  0,  0,  0,-28,-21,  5,  6, 24,  0,-17, 22, -8,-22, 12, -5, 14, -6
HOU  32   0,  0,  0,  0,  3,-16,-10,  2,-19,  9, -7, 11,-30,  0, 14,-12,  6,-11

37526618227845253158164844313767
11211122222211211212121121111211
